Id;PLU;ScaleID;OrderID;SSCC;WeithingDate;NetWeight;TareWeight;UUID
-2147483642;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001728;2020-05-25 16:04:31.4533333;1254.000;250.000;71E713CB-524E-4C6B-BBFB-7CBE8EBB243B
-2147483641;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001735;2020-05-25 16:05:08.3633333;1254.000;250.000;1C47F0E9-F4E7-4965-9CCF-3AB2F6C4A967
-2147483640;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001742;2020-05-25 16:05:19.5600000;1254.000;250.000;DB743244-9CDB-4C32-B7F2-5001DF1A1B6F
-2147483639;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001759;2020-05-25 16:08:51.2300000;1254.000;250.000;0D05B9C3-A3DA-42A6-B7B7-A7F92F769838
-2147483638;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001766;2020-05-25 16:45:35.5200000;1024.000;254.000;7BAC6E19-A50F-4B3D-8BD0-5437CF1A2900
-2147483637;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001773;2020-05-25 16:55:14.3666667;1504.000;250.000;BFB71E7F-1CFB-40DA-9AFC-733262EDFBF0
-2147483636;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001780;2020-05-25 17:13:12.7633333;1504.000;250.000;AF13960F-9501-4661-B47B-0D8711194F10
-2147483635;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001797;2020-05-25 17:13:55.7200000;1504.000;250.000;AEABABB9-F0EB-464A-B402-AEA1A4149D40
-2147483634;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001803;2020-05-25 17:14:57.1933333;1504.000;250.000;5CAE7C27-0B58-4366-BCC5-FBF793DD8099
-2147483633;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001810;2020-05-25 17:19:14.3900000;1504.000;250.000;F0E40105-B0FA-4F18-9880-E2886D932B65
-2147483632;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001827;2020-05-25 17:19:24.2500000;1504.000;250.000;32D2CF50-39AB-423E-8A92-EAB08CED441D
-2147483631;101;F1A90176-894E-11EA-9E4C-4CCC6A93A440;NULL;00146071002300001834;2020-05-25 17:22:48.8000000;1504.000;250.000;857B1D9C-6666-41DD-853C-4CABA2EF7830
