Id;GoodsName;GoodsFullName;GoodsDescription;TemplateID;GTIN;EAN13;ITF14;GoodsShelfLifeDays;GoodsTareWeight;GoodsBoxQuantly;ConsumerName;GLN;1CScaleID;1CRRefGoods;PLU;CreateDate;ModifiedDate
5;Грудинка Домашняя порц.нарезка;"Мясной продукт охлажденный. Продукт из мяса свинины варено-копченый категории Г, Грудинка ""Домашняя""ТУ 10.13.14-003-19904661-2019  (порц. нарезка)";Срок годности: при температуре от 0 С до + 6 С и относительной влажности воздуха 70-80%, упакованной под вакуумом - 30 суток,;36432385-A0BC-11EA-9E4D-4CCC6A93A440;02600560000000;NULL;NULL;30;0.400;24;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;4C5A30C1-70C4-11E9-A216-A4BF0139EB1B;215;2020-05-13 12:01:21.330;2020-06-03 09:44:08.210
6;Владимирская  стандарт ц/ф в/у;Изделия колбасные варёные. Продукт мясной категории Б. Колбаса варёная “Ветчина ВЛАДИМИРСКАЯ стандарт” охлаждённая.ТУ 10.13.14-007-91005552-2016;Срок годности: при температуре от 0°С до + 6°С и относительной влажности воздуха  75-78% в искусственной оболочке, упакованной под вакуумом - 30 суток;A72B1386-8B5B-47CA-B604-1405C7A1E0EC;02600078000000;NULL;NULL;30;0.600;12;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;6176B9CA-7188-11E5-941C-001E6722B449;101;2020-05-13 12:01:21.330;2020-06-03 09:57:32.007
7;Брак фарш ветчина Сочная п/а;Брак фарш ветчина Сочная п/а;;AFE3172D-894B-11EA-9E4C-4CCC6A93A440;321321321321321;NULL;NULL;30;0.125;15;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;A649F2D3-C745-11E6-80D0-A4BF01016D50;108;2020-05-13 12:01:21.330;2020-06-03 09:57:31.977
8;Баварские со сливками 900 г;Мясные полуфабрикаты в тесте замороженные категории Г, Пельмени «Баварские со сливками» ТУ10.13.14-008-91005552-2016, 900 г;Срок годности: при температуре не выше минус 18°С —  180 суток.;AFE3172D-894B-11EA-9E4C-4CCC6A93A440;654456654456;NULL;NULL;180;0.500;10;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;EADF7C5F-067D-11E8-80E6-A4BF01016D51;209;2020-05-13 12:01:21.347;2020-06-03 09:44:08.193
9;яМясной хлеб Ветчинный вес.;Изделие колбасное вареное яМясной хлеб Ветчинный вес.;Срок годности: при t°С от 0°С до 6°С и относительной влажности воздуха от 75-78% в полиамидной оболочке - 30 суток.;A72B1386-8B5B-47CA-B604-1405C7A1E0EC;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;02EDEE6D-8FAA-11EA-9E4C-4CCC6A93A440;87D02117-93D9-11E8-A214-A4BF0139EB1C;2035;2020-05-13 12:23:12.110;2020-05-14 10:02:40.467
10;Докторская ГОСТ ц/ф  500 г;Изделия колбасные варёные. Продукт мясной категории А. Колбаса варёная “ДОКТОРСКАЯ” охлажденная. 500 г. ГОСТ Р 52196-2011;Срок годности: при температуре от 0°С до +6°С и относительной влажности воздуха  75%-78% в искусственной оболочке, упакованной под вакуумом - 30 суток;302A6CFE-9FF4-11EA-9E4D-4CCC6A93A440;14607100234446;NULL;NULL;30;0.400;15;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;1EBA680F-3A1D-11E7-80D2-A4BF01016D50;150;2020-05-27 11:32:27.937;2020-06-03 09:44:08.180
11;Ребрышки свиные;Деликатес Ребрышки свиные;Срок годности: при температуре от 2°С до  +6°С и относительной влажности воздуха 70%-80% - 10 суток.;36432385-A0BC-11EA-9E4D-4CCC6A93A440;02600501000000;NULL;NULL;10;0.700;NULL;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;28471A9D-DB5D-11E3-9406-001E6722B449;211;2020-05-28 16:56:54.940;2020-05-28 17:00:38.460
12;Грудинка Домашняя порц.нарезка;"Мясной продукт охлажденный. Продукт из мяса свинины варено-копченый категории Г, Грудинка ""Домашняя""ТУ 10.13.14-003-19904661-2019  (порц. нарезка)";Срок годности: при температуре от 0 С до + 6 С и относительной влажности воздуха 70-80%, упакованной под вакуумом - 30 суток,;73ED3B46-A404-11EA-9E4D-4CCC6A93A440;02600560000000;NULL;NULL;30;0.400;24;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;4C5A30C1-70C4-11E9-A216-A4BF0139EB1B;50;2020-05-28 16:58:27.150;2020-06-03 09:57:32.037
13;Баварские со сливками 900 г;Мясные полуфабрикаты в тесте замороженные категории Г, Пельмени «Баварские со сливками» ТУ10.13.14-008-91005552-2016, 900 г;Срок годности: при температуре не выше минус 18°С —  180 суток.;A72B1386-8B5B-47CA-B604-1405C7A1E0EC;654456654456;NULL;NULL;180;0.500;10;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;EADF7C5F-067D-11E8-80E6-A4BF01016D51;204;2020-05-28 16:58:27.167;2020-06-03 09:57:32.023
14;Баварские со сливками 900 г;Мясные полуфабрикаты в тесте замороженные категории Г, Пельмени «Баварские со сливками» ТУ10.13.14-008-91005552-2016, 900 г;Срок годности: при температуре не выше минус 18°С —  180 суток.;AFE3172D-894B-11EA-9E4C-4CCC6A93A440;654456654456;NULL;NULL;180;0.500;10;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;EADF7C5F-067D-11E8-80E6-A4BF01016D51;205;2020-05-28 16:58:27.167;2020-06-03 09:44:08.193
15;Баварские со сливками 900 г;Мясные полуфабрикаты в тесте замороженные категории Г, Пельмени «Баварские со сливками» ТУ10.13.14-008-91005552-2016, 900 г;Срок годности: при температуре не выше минус 18°С —  180 суток.;36432385-A0BC-11EA-9E4D-4CCC6A93A440;654456654456;NULL;NULL;180;0.500;10;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;EADF7C5F-067D-11E8-80E6-A4BF01016D51;206;2020-05-28 16:58:27.183;2020-06-03 09:44:08.193
16;Баварские со сливками 900 г;Мясные полуфабрикаты в тесте замороженные категории Г, Пельмени «Баварские со сливками» ТУ10.13.14-008-91005552-2016, 900 г;Срок годности: при температуре не выше минус 18°С —  180 суток.;AFE3172D-894B-11EA-9E4C-4CCC6A93A440;654456654456;NULL;NULL;180;0.500;10;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;EADF7C5F-067D-11E8-80E6-A4BF01016D51;207;2020-05-28 16:58:27.183;2020-06-03 09:44:08.193
17;Баварские со сливками 900 г;Мясные полуфабрикаты в тесте замороженные категории Г, Пельмени «Баварские со сливками» ТУ10.13.14-008-91005552-2016, 900 г;Срок годности: при температуре не выше минус 18°С —  180 суток.;AFE3172D-894B-11EA-9E4C-4CCC6A93A440;654456654456;NULL;NULL;180;0.500;10;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;EADF7C5F-067D-11E8-80E6-A4BF01016D51;208;2020-05-28 16:58:27.183;2020-06-03 09:57:31.913
18;Грудинка Домашняя порц.нарезка;"Мясной продукт охлажденный. Продукт из мяса свинины варено-копченый категории Г, Грудинка ""Домашняя""ТУ 10.13.14-003-19904661-2019  (порц. нарезка)";Срок годности: при температуре от 0 С до + 6 С и относительной влажности воздуха 70-80%, упакованной под вакуумом - 30 суток,;36432385-A0BC-11EA-9E4D-4CCC6A93A440;02600560000000;NULL;NULL;30;0.400;24;NULL;NULL;F1A90176-894E-11EA-9E4C-4CCC6A93A440;4C5A30C1-70C4-11E9-A216-A4BF0139EB1B;210;2020-05-28 16:58:27.183;2020-06-03 09:44:08.210
